,University,Established,Specialization,pType,Location,Campuses,Overall Ranking,Overall Score,Business School Ranking,Business School Score,Medicine School Ranking,Medicine School Score,Engineering School Ranking,Engineering School Score,Province,Sector,Female Non-PhD,Female PhD,Male Non-PhD,Male PhD,Grand Total
130,Muhammad Nawaz Sharif University of Agriculture,2012,General,Public,Multan,,,,,,,,,,,,,,,,
132,Virtual University of Pakistan,2002,General,Public,Lahore,Across the entire Pakistan,,,,,,,,,Punjab,Public,156.0,9.0,168.0,14.0,347.0
133,Lahore Garrison University,2012,General,Private,Lahore,,,,,,,,,,Punjab,Private,120.0,13.0,73.0,24.0,230.0
134,Cholistan University of Veterinary and Animal Sciences,2014,General,Public,Bahawalpur,,,,,,,,,,,,,,,,
137,University of Sahiwal,2015,General,Public,Sahiwal,,,,,,,,,,,,,,,,
138,University of Okara,2015,General,Public,Okara,,,,,,,,,,,,,,,,
139,University of Jhang,2015,General,Public,Jhang,,,,,,,,,,,,,,,,
140,NUR International University,2015,General,Private,Lahore,,,,,,,,,,Punjab,Private,24.0,7.0,9.0,6.0,46.0
141,University of Sialkot,2013,General,Private,Sialkot,,,,,,,,,,,,,,,,
146,University of Home Economics Lahore,1955,General,Public,Lahore,,,,,,,,,,,,,,,,
148,Rawalpindi Women University,1950,General,Public,Rawalpindi,,,,,,,,,,,,,,,,
150,University of Narowal,2014,General,Public,Narowal,,,,,,,,,,,,,,,,
151,Al-Qadir University,2020,General,Public,Sohawa,,,,,,,,,,,,,,,,
152,Baba Guru Nanak University,2020,General,Public,Nankana Sahib,,,,,,,,,,,,,,,,
153,University of Chakwal,2020,General,Public,Chakwal,,,,,,,,,,,,,,,,
154,University of Mianwali,2020,General,Public,Mianwali,,,,,,,,,,,,,,,,
155,Thal University,2020,General,Public,Bhakkar,,,,,,,,,,,,,,,,
156,Islamia College University,1913,General,Public,Peshawar,,,,,,,,,,,,,,,,
157,Pakistan Military Academy,1947,General,Military,Abbotabad,,,,,,,,,,,,,,,,
158,Pakistan Air Force Academy,1947,General,Military,Risalpur,,,,,,,,,,,,,,,,
159,University of Peshawar,1950,General,Public,Peshawar,,,,,,,,,,"Khyber
Pakhtunkhwa",Public,128.0,77.0,112.0,211.0,528.0
160,Gomal University,1974,General,Public,Dera Ismail Khan,Tank[16],,,,,,,,,,,,,,,
162,University of Agriculture,1981,General,Public,Peshawar,Mardan,,,,,,,,,,,,,,,
163,Preston University,1984,General,Private,Kohat,"Karachi, Islamabad, Lahore, Peshawar",,,,,,,,,"Khyber
Pakhtunkhwa",Private,11.0,9.0,17.0,66.0,103.0
167,University of Malakand,2001,General,Public,Chakdara,,,,,,,,,,"Khyber
Pakhtunkhwa",Public,22.0,5.0,104.0,100.0,231.0
168,Qurtuba University,2001,General,Private,Peshawar,Dera Ismail Khan,,,,,,,,,,,,,,,
171,Hazara University,2001,General,Public,Mansehra,,,,,,,,,,"Khyber
Pakhtunkhwa",Public,68.0,20.0,106.0,96.0,290.0
172,Gandhara University,2002,General,Private,Peshawar,,,,,,9,43.64 ,,,"Khyber
Pakhtunkhwa",Private,84.0,3.0,133.0,2.0,222.0
173,Northern University,2002,General,Private,Nowshera,,,,,,,,,,"Khyber
Pakhtunkhwa",Private,5.0,6.0,34.0,24.0,69.0
174,Institute of Management Sciences Peshawar,2002,General,Public,Peshawar,,,,,,,,,,,,,,,,
176,Shaheed Benazir Bhutto Women University,2005,General,Public,Peshawar,,,,,,,,,,"Khyber
Pakhtunkhwa",Public,130.0,51.0,1.0,0.0,182.0
178,Abasyn University,2007,General,Private,Peshawar,Islamabad,,,,,,,,,"Khyber
Pakhtunkhwa",Private,45.0,7.0,153.0,34.0,239.0
179,Abdul Wali Khan University Mardan,2009,General,Public,Mardan,"Chitral, Pabbi, Timergara, Buner",,,,,,,,,,,,,,,
180,Shaheed Benazir Bhutto University,2009,General,Public,Upper Dir,Chitral,,,,,,,,,,,,,,,
181,University of Swat,2009,General,Public,Swat,,,,,,,,,,"Khyber
Pakhtunkhwa",Public,23.0,2.0,59.0,48.0,132.0
182,Bacha Khan University,2012,General,Public,Charsadda,,,,,,,,,,"Khyber
Pakhtunkhwa",Public,6.0,3.0,34.0,40.0,83.0
183,University of Haripur,2012,General,Public,Haripur,,,,,,,,,,"Khyber
Pakhtunkhwa",Public,19.0,12.0,59.0,55.0,145.0
184,IQRA National University,2012,General,Private,Peshawar,,,,,,,,,,,,,,,,
185,Khushal Khan Khattak University,2012,General,Public,Karak,,,,,,,,,,"Khyber
Pakhtunkhwa",Public,1.0,0.0,28.0,13.0,42.0
186,University of Swabi,2012,General,Public,Swabi,,,,,,,,,,"Khyber
Pakhtunkhwa",Public,16.0,3.0,52.0,49.0,120.0
187,University of Buner,2012,General,Public,Buner,,,,,,,,,,,,,,,,
189,Women University Mardan,2016,General,Public,Mardan,,,,,,,,,,,,,,,,
190,Women University Swabi,2016,General,Public,Swabi,,,,,,,,,,,,,,,,
192,FATA University,2016,General,Public,Akhorwal,,,,,,,,,,,,,,,,
193,University of Chitral,2017,General,Public,Chitral,,,,,,,,,,,,,,,,
195,University of Agriculture  Ismail Khan,2017,General,Public,Dera Ismail Khan,,,,,,,,,,,,,,,,
196,University of Lakki Marwat,2017,General,Public,Lakki Marwat,,,,,,,,,,,,,,,,
197,University of Balochistan,1970,General,Public,Quetta,"Mastung, Kharan, Pishin",,,,,,,,,Balochistan,Public,123.0,34.0,246.0,124.0,527.0
199,Al-Hamd Islamic University,1995,General,Private,Quetta,Islamabad,,,,,,,,,,,,,,,
201,Sardar Bahadur Khan Women's University,2004,General,Public,Quetta,"Noshki, Pishin, Khuzdar",,,,,,,,,Balochistan,Public,218.0,20.0,0.0,0.0,238.0
202,Lasbela University of Agriculture  and Marine Sciences,2005,General,Public,Lasbela,"Wadh, Dera Murad Jamali",,,,,,,,,,,,,,,
203,University of Turbat,2013,General,Public,Turbat,Gwadar,,,,,,,,,Balochistan,Public,11.0,1.0,69.0,6.0,87.0
204,University of Loralai,2013,General,Public,Loralai,,,,,,,,,,Balochistan,Public,6.0,0.0,15.0,2.0,23.0
